STATION,NAME,LATITUDE,LONGITUDE,ELEVATION,DATE,YEAR,MONTH,DAY,TAVG,TMAX,TMIN
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,5/31/2004,2004,5,31,50.5,59,42
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/1/2004,2004,6,1,58,67,49
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/2/2004,2004,6,2,61.5,70,53
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/3/2004,2004,6,3,68,76,60
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/4/2004,2004,6,4,66,75,57
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/5/2004,2004,6,5,66,76,56
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/6/2004,2004,6,6,66,75,57
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/7/2004,2004,6,7,64,74,54
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/8/2004,2004,6,8,65,72,58
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/9/2004,2004,6,9,52,66,38
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/10/2004,2004,6,10,40.5,47,34
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/11/2004,2004,6,11,48,57,39
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/12/2004,2004,6,12,54,62,46
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/13/2004,2004,6,13,59,68,50
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/14/2004,2004,6,14,61.5,69,54
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/15/2004,2004,6,15,57.5,65,50
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/16/2004,2004,6,16,57,66,48
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/17/2004,2004,6,17,51,57,45
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/18/2004,2004,6,18,55,65,45
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/19/2004,2004,6,19,62,70,54
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/20/2004,2004,6,20,58,68,48
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/21/2004,2004,6,21,54,61,47
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/22/2004,2004,6,22,57.5,67,48
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/23/2004,2004,6,23,63.5,73,54
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/24/2004,2004,6,24,62.5,71,54
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/25/2004,2004,6,25,59.5,70,49
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/26/2004,2004,6,26,57.5,68,47
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/27/2004,2004,6,27,59,68,50
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/28/2004,2004,6,28,62,71,53
USS0011J70S,"CASCADE MOUNTAIN, UT US",40.28,-111.61,2369.5,6/29/2004,2004,6,29,54,60,48
